text,debts,funeral_expenses,bequests,wife,husband,son,daughter,father,mother,brother,sister,grandchild
"The estate is worth $765,268.40. There are debts of $70,456.04. Funeral expenses amount to $8,543.64. A bequest of $66,398.59 was specified. The survivors include a wife, 3 sons, 3 daughters, a father, a mother, 3 sisters, 2 grandchildren.",70456.04,8543.64,66398.59,1,0,3,3,1,1,0,3,2
"The estate is worth $174,382.13. There are debts of $26,245.05. Funeral expenses amount to $4,479.54. A bequest of $7,812.36 was specified. The survivors include a husband, 1 sons, 4 daughters, a mother, 2 brothers, 2 sisters.",26245.05,4479.54,7812.36,0,1,1,4,0,1,2,2,0
"The estate is worth $467,526.70. There are debts of $19,087.31. Funeral expenses amount to $1,175.47. A bequest of $102,949.10 was specified. The survivors include a wife, a husband, 4 sons, a mother, 3 brothers.",19087.31,1175.47,102949.1,1,1,4,0,0,1,3,0,0
"The estate is worth $642,472.80. There are debts of $74,330.36. Funeral expenses amount to $4,512.20. A bequest of $158,875.38 was specified. The survivors include 4 sons, 2 daughters, a mother, 2 brothers, 2 sisters, 1 grandchildren.",74330.36,4512.2,158875.38,0,0,4,2,0,1,2,2,1
"The estate is worth $185,883.73. There are debts of $19,244.34. Funeral expenses amount to $4,783.95. A bequest of $36,734.92 was specified. The survivors include a husband, 3 sons, 2 daughters, a father, 2 sisters.",19244.34,4783.95,36734.92,0,1,3,2,1,0,0,2,0
"The estate is worth $268,494.63. There are debts of $33,314.36. Funeral expenses amount to $6,874.40. A bequest of $64,336.53 was specified. The survivors include a husband, 1 sons, 2 daughters, a father, a mother, 1 brothers, 2 sisters.",33314.36,6874.4,64336.53,0,1,1,2,1,1,1,2,0
"The estate is worth $669,212.60. There are debts of $33,354.79. Funeral expenses amount to $3,543.36. A bequest of $176,413.35 was specified. The survivors include 4 sons, a father, 1 brothers, 3 sisters, 1 grandchildren.",33354.79,3543.36,176413.35,0,0,4,0,1,0,1,3,1
"The estate is worth $860,124.54. There are debts of $33,021.65. Funeral expenses amount to $8,835.03. A bequest of $209,828.34 was specified. The survivors include a husband, 2 daughters, a mother, 2 brothers, 3 sisters, 2 grandchildren.",33021.65,8835.03,209828.34,0,1,0,2,0,1,2,3,2
"The estate is worth $498,330.05. There are debts of $65,874.24. Funeral expenses amount to $3,636.05. A bequest of $63,773.37 was specified. The survivors include a husband, 5 sons, 2 daughters, a mother, 2 brothers, 3 sisters, 2 grandchildren.",65874.24,3636.05,63773.37,0,1,5,2,0,1,2,3,2
"The estate is worth $487,502.84. There are debts of $70,701.50. Funeral expenses amount to $3,101.97. A bequest of $128,729.25 was specified. The survivors include a husband, 2 sons, 5 daughters, a father, a mother, 2 sisters, 2 grandchildren.",70701.5,3101.97,128729.25,0,1,2,5,1,1,0,2,2
"The estate is worth $651,889.87. There are debts of $159,670.71. Funeral expenses amount to $8,279.68. A bequest of $31,604.28 was specified. The survivors include a wife, a husband, 3 daughters, a father, 2 grandchildren.",159670.71,8279.68,31604.28,1,1,0,3,1,0,0,0,2
"The estate is worth $537,285.09. There are debts of $66,756.53. Funeral expenses amount to $1,325.21. A bequest of $120,975.52 was specified. The survivors include a wife, a husband, 2 sons, 1 daughters, a father, a mother, 3 brothers, 2 sisters, 1 grandchildren.",66756.53,1325.21,120975.52,1,1,2,1,1,1,3,2,1
"The estate is worth $217,710.02. There are debts of $32,097.50. Funeral expenses amount to $2,527.42. A bequest of $39,399.79 was specified. The survivors include a wife, a husband, 3 sons, 3 daughters, a father, a mother, 2 brothers, 2 sisters.",32097.5,2527.42,39399.79,1,1,3,3,1,1,2,2,0
"The estate is worth $517,515.96. There are debts of $54,706.04. Funeral expenses amount to $5,927.07. A bequest of $132,875.19 was specified. The survivors include 2 daughters, a mother, 3 brothers, 2 sisters.",54706.04,5927.07,132875.19,0,0,0,2,0,1,3,2,0
"The estate is worth $158,307.96. There are debts of $8,542.01. Funeral expenses amount to $3,958.37. A bequest of $30,380.47 was specified. The survivors include a husband, a mother, 1 brothers, 1 sisters, 2 grandchildren.",8542.01,3958.37,30380.47,0,1,0,0,0,1,1,1,2
"The estate is worth $974,135.34. There are debts of $235,363.40. Funeral expenses amount to $1,064.79. A bequest of $233,268.77 was specified. The survivors include a husband, 5 sons, a father, a mother, 2 brothers.",235363.4,1064.79,233268.77,0,1,5,0,1,1,2,0,0
"The estate is worth $266,503.09. There are debts of $17,974.01. Funeral expenses amount to $9,110.09. A bequest of $38,787.44 was specified. The survivors include a wife, 2 sons, 4 daughters, a father, a mother, 2 brothers, 2 sisters.",17974.01,9110.09,38787.44,1,0,2,4,1,1,2,2,0
"The estate is worth $732,650.26. There are debts of $47,584.05. Funeral expenses amount to $9,040.80. A bequest of $169,289.26 was specified. The survivors include a husband, 3 sons, 3 daughters, a mother, 2 brothers, 3 sisters.",47584.05,9040.8,169289.26,0,1,3,3,0,1,2,3,0
"The estate is worth $905,345.28. There are debts of $101,634.58. Funeral expenses amount to $1,902.34. A bequest of $116,179.60 was specified. The survivors include a wife, a husband, 2 sons, 5 daughters, 3 sisters.",101634.58,1902.34,116179.6,1,1,2,5,0,0,0,3,0
"The estate is worth $127,343.16. There are debts of $8,172.77. Funeral expenses amount to $1,410.40. A bequest of $6,117.03 was specified. The survivors include a wife, 5 sons, 4 daughters, a father, a mother, 2 brothers, 1 sisters, 1 grandchildren.",8172.77,1410.4,6117.03,1,0,5,4,1,1,2,1,1
"The estate is worth $153,582.71. There are debts of $18,348.26. Funeral expenses amount to $2,731.16. A bequest of $16,528.87 was specified. The survivors include 1 sons, 4 daughters, a father, 3 brothers, 3 sisters.",18348.26,2731.16,16528.87,0,0,1,4,1,0,3,3,0
"The estate is worth $535,052.38. There are debts of $26,292.88. Funeral expenses amount to $2,182.35. A bequest of $160,036.93 was specified. The survivors include a wife, a husband, 5 sons, a father, a mother, 1 brothers, 2 sisters, 2 grandchildren.",26292.88,2182.35,160036.93,1,1,5,0,1,1,1,2,2
"The estate is worth $179,226.18. There are debts of $29,201.96. Funeral expenses amount to $9,835.05. A bequest of $17,423.08 was specified. The survivors include a wife, 2 sons, 3 daughters, a mother, 2 brothers, 2 sisters, 2 grandchildren.",29201.96,9835.05,17423.08,1,0,2,3,0,1,2,2,2
"The estate is worth $386,549.45. There are debts of $4,735.71. Funeral expenses amount to $6,120.99. A bequest of $78,606.60 was specified. The survivors include a wife, 2 sons, 2 daughters, a father, 1 brothers, 1 sisters, 2 grandchildren.",4735.71,6120.99,78606.6,1,0,2,2,1,0,1,1,2
"The estate is worth $595,196.40. There are debts of $81,020.75. Funeral expenses amount to $4,525.12. A bequest of $39,499.01 was specified. The survivors include 2 sons, 1 daughters, 3 brothers, 3 sisters, 1 grandchildren.",81020.75,4525.12,39499.01,0,0,2,1,0,0,3,3,1
"The estate is worth $415,448.90. There are debts of $1,175.53. Funeral expenses amount to $9,815.16. A bequest of $53,013.93 was specified. The survivors include a wife, 3 sons, 1 daughters, a father, 1 brothers, 2 sisters.",1175.53,9815.16,53013.93,1,0,3,1,1,0,1,2,0
"The estate is worth $681,904.79. There are debts of $124,543.65. Funeral expenses amount to $1,888.89. A bequest of $113,548.39 was specified. The survivors include a wife, 3 sons, 4 daughters, a father, a mother, 3 brothers, 3 sisters.",124543.65,1888.89,113548.39,1,0,3,4,1,1,3,3,0
"The estate is worth $845,010.53. There are debts of $56,391.88. Funeral expenses amount to $2,762.88. A bequest of $108,496.22 was specified. The survivors include a wife, a husband, 1 sons, 5 daughters, a mother, 2 brothers, 2 sisters.",56391.88,2762.88,108496.22,1,1,1,5,0,1,2,2,0
"The estate is worth $886,531.69. There are debts of $27,635.36. Funeral expenses amount to $8,716.71. A bequest of $221,143.74 was specified. The survivors include 3 sons, 5 daughters, a father, a mother, 2 brothers, 3 sisters.",27635.36,8716.71,221143.74,0,0,3,5,1,1,2,3,0
"The estate is worth $519,451.25. There are debts of $93,634.82. Funeral expenses amount to $1,901.44. A bequest of $110,525.49 was specified. The survivors include 2 daughters, a mother, 3 brothers, 1 grandchildren.",93634.82,1901.44,110525.49,0,0,0,2,0,1,3,0,1
"The estate is worth $455,152.93. There are debts of $71,177.96. Funeral expenses amount to $1,280.84. A bequest of $12,294.19 was specified. The survivors include a husband, 2 sons, 3 daughters, 3 brothers, 3 sisters, 1 grandchildren.",71177.96,1280.84,12294.19,0,1,2,3,0,0,3,3,1
"The estate is worth $700,699.99. There are debts of $131,467.10. Funeral expenses amount to $2,432.89. A bequest of $144,767.79 was specified. The survivors include a father, a mother, 3 brothers, 3 sisters, 2 grandchildren.",131467.1,2432.89,144767.79,0,0,0,0,1,1,3,3,2
"The estate is worth $253,036.90. There are debts of $35,572.83. Funeral expenses amount to $5,348.41. A bequest of $25,541.89 was specified. The survivors include a wife, a husband, 1 sons, 1 daughters, a father, a mother, 3 brothers, 2 sisters, 1 grandchildren.",35572.83,5348.41,25541.89,1,1,1,1,1,1,3,2,1
"The estate is worth $892,728.04. There are debts of $109,085.16. Funeral expenses amount to $3,043.09. A bequest of $115,365.39 was specified. The survivors include a husband, 5 sons, a mother, 3 sisters.",109085.16,3043.09,115365.39,0,1,5,0,0,1,0,3,0
"The estate is worth $338,122.40. There are debts of $36,085.43. Funeral expenses amount to $9,611.62. A bequest of $94,601.11 was specified. The survivors include a wife, 5 sons, 3 brothers.",36085.43,9611.62,94601.11,1,0,5,0,0,0,3,0,0
"The estate is worth $512,070.04. There are debts of $1,429.28. Funeral expenses amount to $9,629.28. A bequest of $139,391.17 was specified. The survivors include 4 sons, a father, 1 grandchildren.",1429.28,9629.28,139391.17,0,0,4,0,1,0,0,0,1
"The estate is worth $348,693.90. There are debts of $62,195.59. Funeral expenses amount to $5,443.95. A bequest of $40,480.71 was specified. The survivors include a husband, 3 sons, 4 daughters, a mother, 1 sisters.",62195.59,5443.95,40480.71,0,1,3,4,0,1,0,1,0
"The estate is worth $322,153.34. There are debts of $22,003.68. Funeral expenses amount to $9,222.84. A bequest of $19,377.88 was specified. The survivors include 1 sons, 3 daughters, a father, a mother, 1 brothers, 2 sisters, 2 grandchildren.",22003.68,9222.84,19377.88,0,0,1,3,1,1,1,2,2
"The estate is worth $739,389.39. There are debts of $179,959.35. Funeral expenses amount to $9,623.99. A bequest of $145,441.29 was specified. The survivors include a wife, a husband, 3 sons, 3 sisters, 2 grandchildren.",179959.35,9623.99,145441.29,1,1,3,0,0,0,0,3,2
"The estate is worth $723,621.83. There are debts of $163,175.06. Funeral expenses amount to $3,384.14. A bequest of $68,492.60 was specified. The survivors include a husband, 1 sons, 4 daughters, 3 brothers, 3 sisters.",163175.06,3384.14,68492.6,0,1,1,4,0,0,3,3,0
"The estate is worth $403,581.98. There are debts of $76,732.54. Funeral expenses amount to $1,283.88. A bequest of $57,993.90 was specified. The survivors include a wife, a husband, 4 sons, 2 daughters, a father, 1 brothers, 1 grandchildren.",76732.54,1283.88,57993.9,1,1,4,2,1,0,1,0,1
"The estate is worth $69,908.45. There are debts of $13,095.56. Funeral expenses amount to $1,973.36. A bequest of $2,158.88 was specified. The survivors include a husband, 3 sons, 4 daughters, 1 brothers, 1 grandchildren.",13095.56,1973.36,2158.88,0,1,3,4,0,0,1,0,1
"The estate is worth $441,910.53. There are debts of $95,517.67. Funeral expenses amount to $5,596.99. A bequest of $32,165.40 was specified. The survivors include a wife, 3 sons, a mother, 3 brothers, 3 sisters, 2 grandchildren.",95517.67,5596.99,32165.4,1,0,3,0,0,1,3,3,2
"The estate is worth $491,826.06. There are debts of $14,260.01. Funeral expenses amount to $1,813.60. A bequest of $104,448.17 was specified. The survivors include 1 sons, 4 daughters, a mother, 2 sisters.",14260.01,1813.6,104448.17,0,0,1,4,0,1,0,2,0
"The estate is worth $816,801.53. There are debts of $126,319.21. Funeral expenses amount to $4,701.72. A bequest of $137,991.57 was specified. The survivors include a wife, 5 daughters, a mother, 3 brothers.",126319.21,4701.72,137991.57,1,0,0,5,0,1,3,0,0
"The estate is worth $621,197.15. There are debts of $139,311.50. Funeral expenses amount to $5,355.62. A bequest of $70,629.72 was specified. The survivors include 2 sons, 5 daughters, a mother, 2 brothers.",139311.5,5355.62,70629.72,0,0,2,5,0,1,2,0,0
"The estate is worth $179,871.19. There are debts of $16,061.73. Funeral expenses amount to $5,725.29. A bequest of $27,695.42 was specified. The survivors include 1 brothers, 1 sisters.",16061.73,5725.29,27695.42,0,0,0,0,0,0,1,1,0
"The estate is worth $891,189.64. There are debts of $44,467.09. Funeral expenses amount to $5,636.63. A bequest of $99,715.14 was specified. The survivors include 5 sons, 3 daughters, a father, a mother, 3 sisters, 2 grandchildren.",44467.09,5636.63,99715.14,0,0,5,3,1,1,0,3,2
"The estate is worth $316,544.18. There are debts of $69,285.61. Funeral expenses amount to $5,622.05. A bequest of $28,826.07 was specified. The survivors include 4 daughters, a father, a mother, 1 brothers, 2 sisters, 1 grandchildren.",69285.61,5622.05,28826.07,0,0,0,4,1,1,1,2,1
"The estate is worth $932,115.30. There are debts of $2,081.64. Funeral expenses amount to $6,731.72. A bequest of $173,372.41 was specified. The survivors include a wife, a husband, 3 sons, 3 daughters, 3 brothers, 2 sisters, 1 grandchildren.",2081.64,6731.72,173372.41,1,1,3,3,0,0,3,2,1
"The estate is worth $185,174.94. There are debts of $22,696.16. Funeral expenses amount to $7,103.77. A bequest of $21,020.42 was specified. The survivors include a husband, 3 sons, 5 daughters, a mother, 1 brothers, 2 sisters.",22696.16,7103.77,21020.42,0,1,3,5,0,1,1,2,0
"The estate is worth $100,658.50. There are debts of $21,331.56. Funeral expenses amount to $3,869.27. A bequest of $18,119.41 was specified. The survivors include a husband, 2 sons, a father, 2 brothers, 2 sisters, 2 grandchildren.",21331.56,3869.27,18119.41,0,1,2,0,1,0,2,2,2
"The estate is worth $860,987.80. There are debts of $54,464.79. Funeral expenses amount to $4,724.92. A bequest of $139,134.64 was specified. The survivors include 2 daughters, a father, 3 brothers, 3 sisters, 1 grandchildren.",54464.79,4724.92,139134.64,0,0,0,2,1,0,3,3,1
"The estate is worth $349,947.94. There are debts of $22,281.69. Funeral expenses amount to $8,956.60. A bequest of $57,314.97 was specified. The survivors include 2 sons, 1 daughters, 2 sisters.",22281.69,8956.6,57314.97,0,0,2,1,0,0,0,2,0
"The estate is worth $200,961.30. There are debts of $30,606.57. Funeral expenses amount to $8,128.25. A bequest of $44,468.48 was specified. The survivors include a wife, 3 sons, 1 daughters, a father, 1 grandchildren.",30606.57,8128.25,44468.48,1,0,3,1,1,0,0,0,1
"The estate is worth $567,982.52. There are debts of $36,762.55. Funeral expenses amount to $8,306.35. A bequest of $89,965.10 was specified. The survivors include a wife, a husband, 5 sons, 5 daughters, a father, a mother, 1 brothers, 2 sisters, 2 grandchildren.",36762.55,8306.35,89965.1,1,1,5,5,1,1,1,2,2
"The estate is worth $261,754.64. There are debts of $32,998.95. Funeral expenses amount to $1,442.88. A bequest of $39,610.08 was specified. The survivors include a husband, 5 sons, 4 daughters, a father, a mother, 1 brothers.",32998.95,1442.88,39610.08,0,1,5,4,1,1,1,0,0
"The estate is worth $961,860.85. There are debts of $42,447.06. Funeral expenses amount to $2,671.36. A bequest of $55,892.18 was specified. The survivors include a wife, a husband, 5 sons, 3 daughters, a father, 2 brothers, 2 sisters, 1 grandchildren.",42447.06,2671.36,55892.18,1,1,5,3,1,0,2,2,1
"The estate is worth $175,172.90. There are debts of $38,117.77. Funeral expenses amount to $8,502.52. A bequest of $32,818.94 was specified. The survivors include a wife, a husband, 4 sons, 5 daughters, 3 sisters.",38117.77,8502.52,32818.94,1,1,4,5,0,0,0,3,0
"The estate is worth $905,795.30. There are debts of $31,075.72. Funeral expenses amount to $2,939.09. A bequest of $201,256.41 was specified. The survivors include 4 sons, 2 daughters, a father, a mother, 1 brothers, 3 sisters.",31075.72,2939.09,201256.41,0,0,4,2,1,1,1,3,0
"The estate is worth $644,176.19. There are debts of $5,444.50. Funeral expenses amount to $8,709.31. A bequest of $47,394.50 was specified. The survivors include a wife, a husband, 1 sons, 4 daughters, a mother, 2 brothers.",5444.5,8709.31,47394.5,1,1,1,4,0,1,2,0,0
"The estate is worth $81,951.56. There are debts of $10,193.26. Funeral expenses amount to $4,267.26. A bequest of $16,999.23 was specified. The survivors include a wife, a husband, 4 daughters, a mother, 2 sisters, 2 grandchildren.",10193.26,4267.26,16999.23,1,1,0,4,0,1,0,2,2
"The estate is worth $133,226.42. There are debts of $31,235.35. Funeral expenses amount to $3,132.38. A bequest of $2,658.95 was specified. The survivors include 4 sons, 5 daughters, 1 grandchildren.",31235.35,3132.38,2658.95,0,0,4,5,0,0,0,0,1
"The estate is worth $354,935.52. There are debts of $41,784.85. Funeral expenses amount to $5,985.16. A bequest of $27,241.84 was specified. The survivors include 4 sons, 2 daughters, 1 brothers, 1 grandchildren.",41784.85,5985.16,27241.84,0,0,4,2,0,0,1,0,1
"The estate is worth $578,176.52. There are debts of $12,104.92. Funeral expenses amount to $9,278.88. A bequest of $116,850.94 was specified. The survivors include a wife, a husband, 2 daughters, a mother, 2 brothers, 3 sisters, 1 grandchildren.",12104.92,9278.88,116850.94,1,1,0,2,0,1,2,3,1
"The estate is worth $421,726.97. There are debts of $54,633.54. Funeral expenses amount to $5,661.48. A bequest of $2,320.42 was specified. The survivors include a husband, 4 sons, 2 daughters, a father, a mother, 2 brothers, 1 sisters, 1 grandchildren.",54633.54,5661.48,2320.42,0,1,4,2,1,1,2,1,1
"The estate is worth $719,722.97. There are debts of $171,310.81. Funeral expenses amount to $1,895.82. A bequest of $138,050.69 was specified. The survivors include a wife, a husband, 1 sons, 3 daughters, a mother, 3 brothers, 1 sisters, 2 grandchildren.",171310.81,1895.82,138050.69,1,1,1,3,0,1,3,1,2
"The estate is worth $260,400.33. There are debts of $28,236.94. Funeral expenses amount to $9,941.52. A bequest of $46,811.75 was specified. The survivors include a wife, 2 sons, 3 daughters, a father, 1 brothers, 3 sisters, 2 grandchildren.",28236.94,9941.52,46811.75,1,0,2,3,1,0,1,3,2
"The estate is worth $497,930.90. There are debts of $41,919.87. Funeral expenses amount to $4,605.26. A bequest of $143,100.08 was specified. The survivors include a husband, 2 sons, a father, 2 brothers, 2 sisters.",41919.87,4605.26,143100.08,0,1,2,0,1,0,2,2,0
"The estate is worth $433,008.77. There are debts of $69,528.24. Funeral expenses amount to $2,564.22. A bequest of $79,866.23 was specified. The survivors include 5 sons, 1 daughters, a father, 3 brothers, 2 grandchildren.",69528.24,2564.22,79866.23,0,0,5,1,1,0,3,0,2
"The estate is worth $555,552.56. There are debts of $92,600.56. Funeral expenses amount to $7,441.29. A bequest of $98,520.68 was specified. The survivors include a wife, a husband, 1 sons, 3 daughters, a father, a mother, 2 brothers, 3 sisters.",92600.56,7441.29,98520.68,1,1,1,3,1,1,2,3,0
"The estate is worth $291,351.64. There are debts of $69,705.04. Funeral expenses amount to $3,461.69. A bequest of $28,601.82 was specified. The survivors include a wife, a husband, 3 sons, a mother, 1 brothers, 2 sisters.",69705.04,3461.69,28601.82,1,1,3,0,0,1,1,2,0
"The estate is worth $298,835.77. There are debts of $42,574.34. Funeral expenses amount to $3,152.11. A bequest of $71,074.70 was specified. The survivors include 4 daughters, a mother, 3 brothers, 1 grandchildren.",42574.34,3152.11,71074.7,0,0,0,4,0,1,3,0,1
"The estate is worth $101,421.02. There are debts of $21,847.06. Funeral expenses amount to $6,617.25. A bequest of $6,907.97 was specified. The survivors include a husband, 2 sons, 5 daughters, a father, 1 brothers, 2 sisters.",21847.06,6617.25,6907.97,0,1,2,5,1,0,1,2,0
"The estate is worth $757,327.11. There are debts of $156,901.31. Funeral expenses amount to $7,325.40. A bequest of $7,709.58 was specified. The survivors include a husband, 5 sons, 1 daughters, a father, a mother, 2 grandchildren.",156901.31,7325.4,7709.58,0,1,5,1,1,1,0,0,2
"The estate is worth $974,697.25. There are debts of $26,701.35. Funeral expenses amount to $5,810.76. A bequest of $240,264.40 was specified. The survivors include a wife, a husband, 5 sons, 1 daughters, a mother, 1 brothers, 2 sisters.",26701.35,5810.76,240264.4,1,1,5,1,0,1,1,2,0
"The estate is worth $777,950.47. There are debts of $20,470.70. Funeral expenses amount to $7,357.49. A bequest of $209,885.04 was specified. The survivors include a wife, a husband, 3 sons, 4 daughters, a father, a mother, 1 sisters, 1 grandchildren.",20470.7,7357.49,209885.04,1,1,3,4,1,1,0,1,1
"The estate is worth $137,720.16. There are debts of $4,948.33. Funeral expenses amount to $1,361.78. A bequest of $40,757.75 was specified. The survivors include a husband, 2 daughters, a mother, 1 brothers, 1 grandchildren.",4948.33,1361.78,40757.75,0,1,0,2,0,1,1,0,1
"The estate is worth $271,443.20. There are debts of $10,100.79. Funeral expenses amount to $3,954.70. A bequest of $13,521.82 was specified. The survivors include 3 sons, 4 daughters, a mother, 2 sisters, 1 grandchildren.",10100.79,3954.7,13521.82,0,0,3,4,0,1,0,2,1
"The estate is worth $378,915.61. There are debts of $83,880.65. Funeral expenses amount to $2,725.34. A bequest of $64,974.03 was specified. The survivors include a wife, a husband, 5 sons, 5 daughters, 2 grandchildren.",83880.65,2725.34,64974.03,1,1,5,5,0,0,0,0,2
"The estate is worth $74,610.37. There are debts of $18,202.29. Funeral expenses amount to $6,157.43. A bequest of $7,434.17 was specified. The survivors include 3 sons, 4 daughters, a mother, 3 brothers, 3 sisters, 2 grandchildren.",18202.29,6157.43,7434.17,0,0,3,4,0,1,3,3,2
"The estate is worth $114,084.49. There are debts of $25,897.25. Funeral expenses amount to $7,633.50. A bequest of $18,006.99 was specified. The survivors include a wife, 2 sons, 2 daughters, a father, 1 brothers.",25897.25,7633.5,18006.99,1,0,2,2,1,0,1,0,0
"The estate is worth $965,663.46. There are debts of $147,587.79. Funeral expenses amount to $1,099.29. A bequest of $269,721.29 was specified. The survivors include a husband, 3 sons, 1 daughters, 3 brothers.",147587.79,1099.29,269721.29,0,1,3,1,0,0,3,0,0
"The estate is worth $899,409.49. There are debts of $167,441.89. Funeral expenses amount to $7,478.61. A bequest of $78,227.54 was specified. The survivors include a wife, 2 sons, 4 daughters, a father, 2 brothers, 3 sisters, 1 grandchildren.",167441.89,7478.61,78227.54,1,0,2,4,1,0,2,3,1
"The estate is worth $797,200.74. There are debts of $1,377.03. Funeral expenses amount to $7,533.35. A bequest of $202,693.43 was specified. The survivors include a husband, 1 sons, 2 daughters, 2 brothers, 2 sisters, 1 grandchildren.",1377.03,7533.35,202693.43,0,1,1,2,0,0,2,2,1
"The estate is worth $442,505.28. There are debts of $34,360.37. Funeral expenses amount to $6,722.55. A bequest of $81,513.77 was specified. The survivors include 1 daughters, 2 grandchildren.",34360.37,6722.55,81513.77,0,0,0,1,0,0,0,0,2
